City,Lat,Lng,Max Temp (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
Kutum,14.2,24.6667,23.5,66,52,3.96,SD,1631415176
Tuktoyaktuk,69.4541,-133.0374,11.0,76,90,3.09,CA,1631415177
Saldanha,-33.0117,17.9442,13.03,91,100,4.31,ZA,1631415178
Cherskiy,68.75,161.3,2.26,50,100,2.49,RU,1631415178
Hasaki,35.7333,140.8333,26.16,81,100,1.58,JP,1631414881
Sanmenxia,34.7747,111.1814,28.47,52,0,4.89,CN,1631415179
Rikitea,-23.1203,-134.9692,23.47,74,80,3.74,PF,1631415180
Dikson,73.5069,80.5464,5.74,84,100,4.34,RU,1631415181
Hong Kong,22.2855,114.1577,34.42,75,74,3.32,HK,1631415135
Ketchikan,55.3422,-131.6461,13.26,94,90,4.63,US,1631415182
Fortuna,40.5982,-124.1573,14.09,48,1,1.34,US,1631415183
Vardø,70.3705,31.1107,6.1,72,99,2.48,NO,1631415184
Avarua,-21.2078,-159.775,26.03,78,90,6.17,CK,1631415186
Hamilton,39.1834,-84.5333,23.76,72,1,0.45,US,1631414645
Yellowknife,62.456,-114.3525,9.29,87,90,6.69,CA,1631415187
Vaini,-21.2,-175.2,23.09,94,90,4.63,TO,1631415189
Mehamn,71.0357,27.8492,4.15,81,82,2.27,NO,1631415189
Albany,42.6001,-73.9662,17.3,84,9,2.56,US,1631415190
Piaçabuçu,-10.4056,-36.4344,23.54,83,71,3.98,BR,1631415191
Coquimbo,-29.9533,-71.3436,13.85,62,75,3.6,CL,1631415192
Mossamedes,-15.1961,12.1522,18.92,97,12,2.34,AO,1631415192
Hilo,19.7297,-155.09,26.82,85,39,1.34,US,1631415193
Sinnamary,5.3833,-52.95,25.36,85,25,4.45,GF,1631415194
New Norfolk,-42.7826,147.0587,12.06,46,70,2.24,AU,1631415194
Nouadhibou,20.931,-17.0347,22.99,94,40,14.92,MR,1631415195
Līsakovsk,52.5369,62.4936,7.01,55,22,4.72,KZ,1631415196
Bredasdorp,-34.5322,20.0403,9.62,93,95,1.03,ZA,1631415196
Khani,41.9563,42.9566,14.76,99,100,0.78,GE,1631415197
Hermanus,-34.4187,19.2345,13.28,86,100,2.97,ZA,1631415198
Kapaa,22.0752,-159.319,26.93,59,48,2.68,US,1631415199
Busselton,-33.65,115.3333,13.91,58,13,2.45,AU,1631415200
Necochea,-38.5473,-58.7368,12.8,89,100,7.96,AR,1631415200
Strelka,58.0728,93.0344,9.18,96,100,4.44,RU,1631415201
Ushuaia,-54.8,-68.3,5.81,45,20,7.2,AR,1631415202
Nome,64.5011,-165.4064,8.98,80,93,3.48,US,1631415202
Severo-Kuril'sk,50.6789,156.125,9.65,75,100,1.43,RU,1631415204
Recreio,-21.525,-42.4692,21.89,91,99,0.61,BR,1631415204
Cape Town,-33.9258,18.4232,14.38,90,75,0.89,ZA,1631415175
Bluff,-46.6,168.3333,13.22,89,100,9.1,NZ,1631415206
Miandrivazo,-19.5167,45.4667,20.99,52,0,1.51,MG,1631415206
Florø,61.5996,5.0328,13.98,88,90,4.63,NO,1631415207
Khatanga,71.9667,102.5,9.15,52,7,1.06,RU,1631415208
St. George's,12.0564,-61.7485,27.82,78,20,7.72,GD,1631415209
Lebu,-37.6167,-73.65,9.41,78,100,8.16,CL,1631415209
Castro,-24.7911,-50.0119,14.11,92,53,1.22,BR,1631415210
Kisii,-0.6817,34.7667,12.83,82,54,2.47,KE,1631415211
Katsuura,35.1333,140.3,25.02,87,100,2.15,JP,1631414992
Jamestown,42.097,-79.2353,20.84,69,20,2.24,US,1631415212
East London,-33.0153,27.9116,19.16,76,4,6.26,ZA,1631415208
Ilulissat,69.2167,-51.1,-10.02,71,1,2.51,GL,1631415213
Barrow,71.2906,-156.7887,7.01,76,20,2.06,US,1631415005
Saint Paul Harbor,57.79,-152.4072,11.31,74,85,1.93,US,1631415214
Orchard Homes,46.8633,-114.0484,14.62,66,37,0.89,US,1631415215
Zhangjiakou,40.81,114.8794,23.59,70,67,5.61,CN,1631415216
Colomi,-17.35,-65.8667,13.37,86,54,2.3,BO,1631415217
Baykit,61.67,96.37,12.58,57,99,4.21,RU,1631415218
Chapais,49.7834,-74.8492,14.88,96,81,5.5,CA,1631415219
Buchanan,5.8808,-10.0467,24.83,90,100,3.42,LR,1631415219
Provideniya,64.3833,-173.3,7.13,64,50,2.2,RU,1631415220
São Geraldo do Araguaia,-6.4006,-48.555,28.01,46,68,1.17,BR,1631415193
Anadyr,64.75,177.4833,3.28,87,75,8.0,RU,1631415221
Longyearbyen,78.2186,15.6401,0.91,69,0,6.17,SJ,1631415222
Mataura,-46.1927,168.8643,13.04,68,97,5.64,NZ,1631415223
Bonavista,48.6499,-53.1147,15.62,72,0,11.24,CA,1631415224
Clyde River,70.4692,-68.5914,-0.87,93,75,10.8,CA,1631415225
Sapa,5.1544,120.3241,28.07,81,100,4.46,PH,1631415225
Strezhevoy,60.7333,77.5889,5.99,86,86,3.45,RU,1631415226
Ahipara,-35.1667,173.1667,15.47,58,26,3.12,NZ,1631415227
Chui,-33.6971,-53.4616,11.31,97,14,2.93,UY,1631415071
Taoudenni,22.6783,-3.9836,35.84,12,1,2.91,ML,1631415228
Teahupoo,-17.8333,-149.2667,24.98,65,66,5.29,PF,1631415229
Mar del Plata,-38.0023,-57.5575,12.01,94,90,6.69,AR,1631415091
Atuona,-9.8,-139.0333,25.49,77,6,8.2,PF,1631415034
Oussouye,12.485,-16.5469,25.15,87,100,2.5,SN,1631415231
Nikolskoye,59.7035,30.7861,12.94,98,100,1.42,RU,1631414988
Klaksvík,62.2266,-6.589,10.51,86,100,3.65,FO,1631415232
Tirur,10.9,75.9167,25.55,88,99,2.62,IN,1631415233
Raymondville,26.4815,-97.7831,28.84,70,4,3.93,US,1631415233
Punta Arenas,-53.15,-70.9167,4.06,65,0,4.12,CL,1631415234
Davila,18.4726,120.5763,27.99,76,99,11.22,PH,1631415235
Tiksi,71.6872,128.8694,11.32,50,94,6.95,RU,1631415236
Tōno,39.3167,141.5333,24.46,55,2,3.95,JP,1631415236
La Ronge,55.1001,-105.2842,9.14,66,20,0.51,CA,1631415237
Ves'yegonsk,58.664,37.2604,9.92,99,100,1.27,RU,1631415238
Iskateley,67.6803,53.1512,2.67,88,100,4.72,RU,1631415239
Torbay,47.6666,-52.7314,15.15,83,1,11.32,CA,1631415239
Eyl,7.9803,49.8164,25.81,77,100,11.88,SO,1631415240
Qaanaaq,77.484,-69.3632,-7.64,60,25,3.69,GL,1631415241
Faanui,-16.4833,-151.75,25.13,74,61,7.71,PF,1631415104
Iqaluit,63.7506,-68.5145,2.85,60,40,2.06,CA,1631415242
Pori,61.4833,21.7833,14.04,100,75,3.09,FI,1631415243
